# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=100
# for k=1.05469e-05 to 226.999 h/Mpc,
# number of wavenumbers equal to 388
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_cdm                 13:t_fld                 14:t_ur                  15:t_tot              
       1.054685259621e-05      -1.550859072729e+00      -1.163144304589e+00      -1.163144304589e+00      -1.163072189109e-01      -1.550859072721e+00      -1.174308164977e+00       6.122887987900e-01       5.968109339551e-01       1.533248430405e-08       1.533261132297e-08       1.533261153065e-08       1.533262867324e-08       1.533247414440e-08       1.533260649912e-08 
       1.104391044557e-05      -1.550860726895e+00      -1.163145545223e+00      -1.163145545223e+00      -1.163072424560e-01      -1.550860726885e+00      -1.174309417513e+00       6.122887293815e-01       5.968108759474e-01       1.681171584284e-08       1.681187281065e-08       1.681187305442e-08       1.681189185060e-08       1.681170362987e-08       1.681186684431e-08 
       1.156439390968e-05      -1.550862456079e+00      -1.163146842123e+00      -1.163146842123e+00      -1.163072653128e-01      -1.550862456067e+00      -1.174310726861e+00       6.122886744193e-01       5.968108337726e-01       1.843365707783e-08       1.843385064974e-08       1.843385091928e-08       1.843387152830e-08       1.843364241189e-08       1.843384327297e-08 
       1.210940700373e-05      -1.550864638428e+00      -1.163148478899e+00      -1.163148478900e+00      -1.163073083935e-01      -1.550864638414e+00      -1.174312379339e+00       6.122885425700e-01       5.968107153843e-01       2.021207590795e-08       2.021231377174e-08       2.021231406329e-08       2.021233665992e-08       2.021205830057e-08       2.021230468131e-08 
       1.268010577357e-05      -1.550869284827e+00      -1.163151963717e+00      -1.163151963718e+00      -1.163072781707e-01      -1.550869284810e+00      -1.174315897565e+00       6.122878346231e-01       5.968100247005e-01       2.216205394607e-08       2.216235475827e-08       2.216235518217e-08       2.216237996395e-08       2.216203259230e-08       2.216234332164e-08 
       1.327770074781e-05      -1.550871470617e+00      -1.163153603080e+00      -1.163153603081e+00      -1.163073214128e-01      -1.550871470596e+00      -1.174317552661e+00       6.122877855970e-01       5.968099911246e-01       2.430017399399e-08       2.430053780999e-08       2.430053830490e-08       2.430056547643e-08       2.430014834773e-08       2.430052396633e-08 
       1.390345950551e-05      -1.550873854860e+00      -1.163155391287e+00      -1.163155391289e+00      -1.163073688027e-01      -1.550873854836e+00      -1.174319358030e+00       6.122877349469e-01       5.968099573825e-01       2.664456909969e-08       2.664500876231e-08       2.664500934215e-08       2.664503913374e-08       2.664453829499e-08       2.664499202064e-08 
       1.455870936489e-05      -1.550876469128e+00      -1.163157352018e+00      -1.163157352019e+00      -1.163074207648e-01      -1.550876469098e+00      -1.174321337578e+00       6.122876794102e-01       5.968099203850e-01       2.921513875209e-08       2.921566982033e-08       2.921567050083e-08       2.921570316498e-08       2.921510174836e-08       2.921564958507e-08 
       1.524484019875e-05      -1.550879804349e+00      -1.163159853471e+00      -1.163159853473e+00      -1.163074667449e-01      -1.550879804314e+00      -1.174323863033e+00       6.122875013299e-01       5.968097640425e-01       3.203369501894e-08       3.203434101911e-08       3.203434182663e-08       3.203437764130e-08       3.203365055735e-08       3.203431639676e-08 
       1.596330738259e-05      -1.550883188423e+00      -1.163162391571e+00      -1.163162391574e+00      -1.163075306935e-01      -1.550883188380e+00      -1.174326425498e+00       6.122873742982e-01       5.968096613076e-01       3.512416575536e-08       3.512495143464e-08       3.512495237139e-08       3.512499163876e-08       3.512411239385e-08       3.512492146275e-08 
