# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=100
# for k=1.0653e-05 to 229.283 h/Mpc,
# number of wavenumbers equal to 388
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_ncdm[0]              8:d_ncdm[1]              9:d_tot                 10:phi                   11:psi                   12:t_g                   13:t_b                   14:t_cdm                 15:t_fld                 16:t_ur                  17:t_ncdm[0]             18:t_ncdm[1]             19:t_tot              
       1.065297608949e-05      -1.551902045326e+00      -1.163926533999e+00      -1.163926533998e+00      -1.163856121336e-01      -1.551902045321e+00      -1.538684331073e+00      -1.370709064492e+00      -1.174622704440e+00       6.120280484983e-01       5.970394713328e-01       1.534258149590e-08       1.534263407999e-08       1.534263381156e-08       1.534263382869e-08       1.534257412068e-08       1.534279703932e-08       1.534259408373e-08       1.534263296430e-08 
       1.115503538500e-05      -1.551903282295e+00      -1.163927461729e+00      -1.163927461728e+00      -1.163856493919e-01      -1.551903282289e+00      -1.538685557509e+00      -1.370710157027e+00      -1.174623640694e+00       6.120280827011e-01       5.970395119611e-01       1.682279523690e-08       1.682286469996e-08       1.682286440787e-08       1.682286442665e-08       1.682278617087e-08       1.682303077624e-08       1.682281158431e-08       1.682286302351e-08 
       1.168075600616e-05      -1.551905558752e+00      -1.163929169086e+00      -1.163929169085e+00      -1.163856586156e-01      -1.551905558745e+00      -1.538687814581e+00      -1.370712167696e+00      -1.174625363738e+00       6.120278901623e-01       5.970393416787e-01       1.844579065853e-08       1.844589974911e-08       1.844589953300e-08       1.844589955359e-08       1.844577890793e-08       1.844604755728e-08       1.844581612846e-08       1.844589673907e-08 
       1.223125307686e-05      -1.551907437552e+00      -1.163930578195e+00      -1.163930578194e+00      -1.163856898210e-01      -1.551907437543e+00      -1.538689677395e+00      -1.370713827227e+00      -1.174626785800e+00       6.120278333723e-01       5.970392957003e-01       2.022538371332e-08       2.022552599509e-08       2.022552577725e-08       2.022552579982e-08       2.022536938943e-08       2.022566426877e-08       2.022541767881e-08       2.022552184857e-08 
       1.280769427522e-05      -1.551909757082e+00      -1.163932317855e+00      -1.163932317854e+00      -1.163856904600e-01      -1.551909757070e+00      -1.538691977176e+00      -1.370715875962e+00      -1.174628541445e+00       6.120277062352e-01       5.970391829721e-01       2.217665488662e-08       2.217684410190e-08       2.217684387270e-08       2.217684389746e-08       2.217663742967e-08       2.217696109364e-08       2.217670505404e-08       2.217683833019e-08 
       1.341130231029e-05      -1.551912218590e+00      -1.163934164006e+00      -1.163934164005e+00      -1.163857203425e-01      -1.551912218575e+00      -1.538694417728e+00      -1.370718050110e+00      -1.174630404560e+00       6.120275872814e-01       5.970390839350e-01       2.431617234579e-08       2.431642235930e-08       2.431642221681e-08       2.431642224395e-08       2.431615071551e-08       2.431650619572e-08       2.431623710882e-08       2.431641449416e-08 
       1.404335751565e-05      -1.551914422267e+00      -1.163935816780e+00      -1.163935816779e+00      -1.163857758568e-01      -1.551914422249e+00      -1.538696602643e+00      -1.370719996522e+00      -1.174632072521e+00       6.120275806819e-01       5.970390901936e-01       2.666211828378e-08       2.666242753583e-08       2.666242739079e-08       2.666242742055e-08       2.666209209145e-08       2.666248237877e-08       2.666219727832e-08       2.666241757482e-08 
       1.470520056512e-05      -1.551916918400e+00      -1.163937688902e+00      -1.163937688900e+00      -1.163858318806e-01      -1.551916918378e+00      -1.538699077525e+00      -1.370722201251e+00      -1.174633961846e+00       6.120275534822e-01       5.970390781972e-01       2.923438640891e-08       2.923477029869e-08       2.923477013083e-08       2.923477016346e-08       2.923435484267e-08       2.923478342904e-08       2.923448340547e-08       2.923475765657e-08 
       1.539823531655e-05      -1.551919778379e+00      -1.163939833915e+00      -1.163939833914e+00      -1.163858900706e-01      -1.551919778352e+00      -1.538701913156e+00      -1.370724727359e+00      -1.174636126570e+00       6.120274929002e-01       5.970390370198e-01       3.205480681554e-08       3.205528674460e-08       3.205528661897e-08       3.205528665474e-08       3.205476834254e-08       3.205523912351e-08       3.205492644973e-08       3.205527067082e-08 
       1.612393178956e-05      -1.551922526525e+00      -1.163941895051e+00      -1.163941895049e+00      -1.163859712809e-01      -1.551922526492e+00      -1.538704637900e+00      -1.370727154652e+00      -1.174638206643e+00       6.120275234161e-01       5.970390804896e-01       3.514734810500e-08       3.514792631365e-08       3.514792609420e-08       3.514792613342e-08       3.514730196755e-08       3.514781894641e-08       3.514749121882e-08       3.514790662814e-08 
