# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=100
# for k=1.0653e-05 to 229.283 h/Mpc,
# number of wavenumbers equal to 388
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_ncdm[0]              8:d_ncdm[1]              9:d_tot                 10:phi                   11:psi                   12:t_g                   13:t_b                   14:t_cdm                 15:t_fld                 16:t_ur                  17:t_ncdm[0]             18:t_ncdm[1]             19:t_tot              
       1.065297608949e-05      -1.551902045583e+00      -1.163926534192e+00      -1.163926534190e+00      -1.163859026722e-01      -1.551902045579e+00      -1.538684331328e+00      -1.370709064719e+00      -1.174622704637e+00       6.120280484340e-01       5.970394712736e-01       1.534258148954e-08       1.534263407854e-08       1.534263381014e-08       1.534265092240e-08       1.534257411412e-08       1.534279703281e-08       1.534259407845e-08       1.534263296270e-08 
       1.115503538500e-05      -1.551903282345e+00      -1.163927461767e+00      -1.163927461766e+00      -1.163859399239e-01      -1.551903282339e+00      -1.538685557559e+00      -1.370710157072e+00      -1.174623640734e+00       6.120280826886e-01       5.970395119496e-01       1.682279523554e-08       1.682286469964e-08       1.682286440756e-08       1.682288316977e-08       1.682278616952e-08       1.682303077490e-08       1.682281158321e-08       1.682286302317e-08 
       1.168075600616e-05      -1.551905556530e+00      -1.163929167419e+00      -1.163929167418e+00      -1.163859492387e-01      -1.551905556522e+00      -1.538687812377e+00      -1.370712165733e+00      -1.174625362059e+00       6.120278907179e-01       5.970393421908e-01       1.844579072430e-08       1.844589976412e-08       1.844589954769e-08       1.844592011988e-08       1.844577897574e-08       1.844604762446e-08       1.844581618299e-08       1.844589675577e-08 
       1.223125307686e-05      -1.551907437738e+00      -1.163930578334e+00      -1.163930578333e+00      -1.163859803520e-01      -1.551907437728e+00      -1.538689677579e+00      -1.370713827391e+00      -1.174626785942e+00       6.120278333259e-01       5.970392956576e-01       2.022538370727e-08       2.022552599371e-08       2.022552577590e-08       2.022554833222e-08       2.022536938319e-08       2.022566426259e-08       2.022541767379e-08       2.022552184706e-08 
       1.280769427522e-05      -1.551909756286e+00      -1.163932317258e+00      -1.163932317257e+00      -1.163859810203e-01      -1.551909756274e+00      -1.538691976387e+00      -1.370715875259e+00      -1.174628540845e+00       6.120277064341e-01       5.970391831550e-01       2.217665491481e-08       2.217684410834e-08       2.217684387903e-08       2.217686861154e-08       2.217663745868e-08       2.217696112237e-08       2.217670507736e-08       2.217683833738e-08 
       1.341130231029e-05      -1.551912220224e+00      -1.163934165231e+00      -1.163934165230e+00      -1.163860108056e-01      -1.551912220209e+00      -1.538694419348e+00      -1.370718051552e+00      -1.174630405799e+00       6.120275868730e-01       5.970390835579e-01       2.431617228194e-08       2.431642234473e-08       2.431642220255e-08       2.431644931987e-08       2.431615064976e-08       2.431650613058e-08       2.431623705595e-08       2.431641447800e-08 
       1.404335751565e-05      -1.551914423164e+00      -1.163935817453e+00      -1.163935817452e+00      -1.163860663442e-01      -1.551914423145e+00      -1.538696603532e+00      -1.370719997314e+00      -1.174632073202e+00       6.120275804578e-01       5.970390899865e-01       2.666211824534e-08       2.666242752706e-08       2.666242738221e-08       2.666245711439e-08       2.666209205189e-08       2.666248233957e-08       2.666219724650e-08       2.666241756510e-08 
       1.470520056512e-05      -1.551916915841e+00      -1.163937686982e+00      -1.163937686981e+00      -1.163861224868e-01      -1.551916915819e+00      -1.538699074988e+00      -1.370722198990e+00      -1.174633959911e+00       6.120275541220e-01       5.970390787899e-01       2.923438652863e-08       2.923477032615e-08       2.923477015784e-08       2.923480275632e-08       2.923435496470e-08       2.923478354994e-08       2.923448350363e-08       2.923475768719e-08 
       1.539823531655e-05      -1.551919778312e+00      -1.163939833865e+00      -1.163939833864e+00      -1.163861805729e-01      -1.551919778285e+00      -1.538701913090e+00      -1.370724727300e+00      -1.174636126522e+00       6.120274929169e-01       5.970390370363e-01       3.205480681889e-08       3.205528674541e-08       3.205528661980e-08       3.205532236119e-08       3.205476834545e-08       3.205523912639e-08       3.205492645209e-08       3.205527067176e-08 
       1.612393178956e-05      -1.551922525571e+00      -1.163941894335e+00      -1.163941894334e+00      -1.163862618000e-01      -1.551922525539e+00      -1.538704636954e+00      -1.370727153810e+00      -1.174638205924e+00       6.120275236545e-01       5.970390807097e-01       3.514734815870e-08       3.514792632592e-08       3.514792610624e-08       3.514796529271e-08       3.514730202259e-08       3.514781900095e-08       3.514749126309e-08       3.514790664182e-08 
